district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Bắc Từ Liêm,0,0,24.7,84.0,2025,6,2,1.2246467991473532e-16,-1.0,192,0,294047619.04761904
Đông Anh,0,0,3.7,45.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,856,1,82222222.22222222
Cam Ranh,0,0,6.7,120.0,2024,9,3,-1.0,-1.8369701987210297e-16,479,1,55833333.333333336
Bắc Từ Liêm,0,0,6.1,73.0,2025,8,3,-0.8660254037844385,-0.5000000000000004,133,1,83561643.83561644
Tây Hồ,0,0,11.3,111.0,2023,1,1,0.49999999999999994,0.8660254037844387,1084,0,101801801.8018018
Long Biên,0,0,6.8,120.0,2024,4,2,0.8660254037844387,-0.4999999999999998,610,0,56666666.666666664
Long Biên,0,0,5.5,35.0,2023,9,3,-1.0,-1.8369701987210297e-16,823,1,157142857.14285713
Hoài Đức,0,0,22.7,120.0,2023,6,2,1.2246467991473532e-16,-1.0,926,0,189166666.66666666
Đông Anh,0,0,29.0,85.0,2023,12,4,-2.4492935982947064e-16,1.0,733,1,341176470.5882353
Gia Lâm,0,0,3.0,59.0,2025,11,4,-0.5000000000000004,0.8660254037844384,59,1,50847457.62711865
Gia Lâm,0,0,3.4,69.0,2023,12,4,-2.4492935982947064e-16,1.0,743,1,49275362.31884058
Đông Anh,0,0,17.9,67.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,499,1,267164179.1044776
Hoài Đức,0,0,13.2,80.0,2025,2,1,0.8660254037844386,0.5000000000000001,327,0,165000000.0
Long Biên,0,0,7.1,102.0,2024,2,1,0.8660254037844386,0.5000000000000001,690,0,69607843.13725491
Gia Lâm,0,0,28.6,150.0,2025,11,4,-0.5000000000000004,0.8660254037844384,44,1,190666666.66666666
Cam Ranh,0,0,6.1,120.0,2023,10,4,-0.8660254037844386,0.5000000000000001,798,1,50833333.333333336
Bắc Từ Liêm,0,0,6.1,73.0,2024,7,3,-0.4999999999999997,-0.8660254037844388,521,1,83561643.83561644
Long Biên,0,0,6.1,80.0,2023,11,4,-0.5000000000000004,0.8660254037844384,772,1,76250000.0
Gia Lâm,0,0,5.5,93.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,516,1,59139784.94623656
Nam Từ Liêm,0,0,7.9,153.0,2023,10,4,-0.8660254037844386,0.5000000000000001,808,1,51633986.92810457
Đông Anh,0,0,15.1,63.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,899,1,239682539.68253967
Hoàng Mai,0,0,5.0,75.0,2025,12,4,-2.4492935982947064e-16,1.0,26,1,66666666.666666664
Nam Từ Liêm,0,0,7.4,94.0,2023,10,4,-0.8660254037844386,0.5000000000000001,806,1,78723404.25531915
Đống Đa,0,0,6.2,31.0,2025,5,2,0.49999999999999994,-0.8660254037844387,241,0,200000000.0
Đông Anh,0,0,16.8,67.0,2023,10,4,-0.8660254037844386,0.5000000000000001,810,1,250746268.6567164
Hoàng Mai,0,0,47.5,128.0,2025,3,1,1.0,6.123233995736766e-17,284,0,371093750.0
Nam Từ Liêm,0,0,4.0,54.0,2024,2,1,0.8660254037844386,0.5000000000000001,681,0,74074074.07407407
Hà Đông,0,0,4.6,78.0,2024,11,4,-0.5000000000000004,0.8660254037844384,400,1,58974358.974358976
Cam Ranh,0,0,6.9,120.0,2024,9,3,-1.0,-1.8369701987210297e-16,483,1,57500000.0
Hai Bà Trưng,0,0,7.3,87.0,2023,5,2,0.49999999999999994,-0.8660254037844387,960,0,83908045.97701149
Hà Đông,0,0,46.8,198.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,159,1,236363636.36363637
Hai Bà Trưng,0,0,7.2,45.0,2023,12,4,-2.4492935982947064e-16,1.0,745,1,160000000.0
Hoàng Mai,0,0,5.1,74.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,857,1,68918918.91891892
Hoàng Mai,0,0,46.2,130.0,2024,10,4,-0.8660254037844386,0.5000000000000001,434,1,355384615.38461536
Hà Đông,0,0,19.9,120.0,2023,1,1,0.49999999999999994,0.8660254037844387,1067,0,165833333.33333334
Đông Anh,0,0,15.8,63.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,506,1,250793650.7936508
Hai Bà Trưng,0,0,6.0,83.0,2023,10,4,-0.8660254037844386,0.5000000000000001,819,1,72289156.62650603
Đống Đa,0,0,8.1,39.0,2024,12,4,-2.4492935982947064e-16,1.0,391,1,207692307.69230768
Gia Lâm,0,0,2.3,43.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,869,1,53488372.093023255
Hà Đông,0,0,19.8,80.0,2025,1,1,0.49999999999999994,0.8660254037844387,349,0,247500000.0
Hai Bà Trưng,0,0,6.3,78.0,2024,3,1,1.0,6.123233995736766e-17,651,0,80769230.76923077
Nam Từ Liêm,0,0,4.6,69.0,2025,10,4,-0.8660254037844386,0.5000000000000001,64,1,66666666.666666664
Đông Anh,0,0,15.1,63.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,906,1,239682539.68253967
